crime,age,collective,unemployment,white
1.879257693,0.907323401,0.574706154,-0.522508213,0.527074579
1.25250501,0.671455346,0.743646261,-0.663829721,0.176241432
1.020976425,0.199719234,0.800748269,-0.310525951,-0.128157915
1.946920791,0.43558729,-0.3232171,-0.416517082,0.155604188
2.557787041,0.43558729,1.050569271,-0.487177836,0.258790408
1.046181438,0.671455346,-0.145451554,-1.193785376,0.496118713
1.666435217,0.199719234,-0.409582556,-0.027882935,0.093692457
3.389064618,-0.036148821,-1.083657504,-0.451847459,-0.169432403
2.436281859,0.43558729,0.116156517,-0.487177836,-0.128157915
1.168375957,0.671455346,1.157761027,-0.946472737,-0.004334452
1.850937808,-0.272016877,-0.654732292,0.325420835,-0.226184824
0.97323601,-0.036148821,0.867030603,0.113438573,0.207197298
1.693002257,-0.036148821,0.307680183,-0.663829721,0.119489012
3.507541214,-0.507884932,-0.328547039,0.466742343,-0.742115921
1.117999797,0.43558729,0.349362582,-0.805151229,0.176241432
2.934616739,-1.215489099,-0.702819507,1.455992899,-1.134223555
2.965892239,-0.036148821,0.622162385,-0.310525951,0.098851768
1.151808339,0.907323401,0.644428947,-0.734490475,0.26910903
1.026377912,-0.036148821,0.615364624,-0.769820852,0.666375975
1.138174368,-0.979621044,-0.59981548,-0.310525951,-1.00524078
1.103752759,-0.272016877,1.481960899,-0.628499344,-0.334530354
2.943800178,-0.743752988,0.625043584,-0.734490475,0.073055213
0.759713479,0.907323401,1.270051911,-1.335106884,0.991412566
1.725282017,-1.215489099,0.037562007,-0.345856328,0.511596646
1.070976536,0.199719234,0.895093511,-0.981803114,0.841792548
2.281151982,-0.272016877,0.386665863,0.219429704,-0.943329049
1.728372601,-1.215489099,-0.298904623,-0.593168967,0.625101487
1.736757226,-0.036148821,0.899474385,-0.734490475,0.300064896
4.237288136,-0.743752988,0.424356986,0.50207272,-0.571858659
1.286265542,-0.272016877,-0.626531577,0.184099327,-0.42223864
3.345547236,-0.389950905,1.316761321,0.254760081,0.021462103
2.057613169,-0.979621044,-0.907657476,1.20868026,-0.886576628
3.505154639,-0.272016877,-1.187333246,1.667975161,-0.391282775
3.1656303,-0.272016877,0.282424228,0.325420835,0.470322158
3.606732567,-0.743752988,-0.409419957,0.926037244,0.248471786
2.580228995,1.143191457,-0.021955412,-0.310525951,0.717969085
1.776198934,2.08666368,1.479686416,-0.840481606,1.130713962
3.011223652,0.907323401,0.481719269,-0.663829721,1.259696737
3.122099401,-0.743752988,-1.540183834,1.809296669,0.558030444
0.652498136,1.614927568,1.367728315,-1.052463868,1.202944316
4.427083333,0.671455346,-0.525204061,0.396081589,1.115236029
1.007049345,2.558399791,0.882128434,-1.26444613,1.440272621
1.560792883,1.614927568,0.808164777,-0.098543689,1.12039534
2.295040163,1.143191457,1.157699653,-0.946472737,1.156510517
0.909799844,1.614927568,1.418872557,-1.123124622,1.553777462
3.04414003,1.379059513,1.398763764,-1.052463868,1.347405023
2.435150873,1.379059513,1.110964778,-0.55783859,1.084280164
1.728034029,1.850795624,0.733023113,-0.55783859,1.502184352
0.786958966,1.379059513,1.165523042,-1.052463868,1.388679511
2.546343451,0.671455346,0.905276335,-0.310525951,1.414476066
1.31443057,1.850795624,2.065034642,-1.087794245,1.373201578
1.76924049,1.143191457,0.731095818,-1.123124622,1.522821596
1.363326517,1.614927568,0.993197105,-1.26444613,1.656963682
1.976024239,2.322531735,1.595622675,-1.26444613,1.507343663
0.646579594,1.850795624,0.09519228,-1.335106884,1.615689194
0.385356455,2.08666368,0.880805818,-1.158454999,1.64664506
3.441156228,1.614927568,1.105251853,-0.981803114,1.553777462
1.342559124,2.08666368,1.232808603,-0.91114236,1.497025041
3.252284343,0.671455346,-0.027458226,0.007447442,1.388679511
1.559776126,-0.036148821,0.612978622,-0.381186705,-1.681110518
0.798175599,-0.272016877,-0.748935542,-0.239865197,-1.185816664
2.420574887,0.199719234,0.676656659,0.113438573,-1.686269829
1.183898974,0.907323401,-0.01410256,-0.699160098,-1.454100835
2.449615856,-0.036148821,-0.08094279,-0.063213312,-1.258047018
1.130085384,-0.036148821,0.775388865,-0.063213312,-1.42830428
1.143249114,-0.743752988,-1.720944957,-0.133874066,-1.572764987
1.785501726,-0.036148821,0.899576003,-0.91114236,-1.490216012
1.711412985,-0.507884932,0.180047281,0.784715736,-1.557287055
1.798792239,-0.743752988,0.493976051,1.20868026,-1.485056701
1.827944705,-0.272016877,-0.147259052,0.678724605,-0.943329049
0.88469478,0.199719234,0.467637894,0.042777819,-1.577924298
2.16755175,-0.507884932,-0.395110797,0.007447442,-1.872005024
3.513223382,-0.743752988,-0.997080014,0.926037244,-1.180657354
2.043280394,-0.507884932,0.179436305,0.078108196,-0.360326909
2.41984271,-0.272016877,-0.370546024,-0.098543689,-1.768818804
2.217965521,-0.743752988,-0.404411087,0.325420835,-1.897801579
1.840264998,-0.507884932,-0.439438576,-0.027882935,-0.380964153
2.646849231,-0.507884932,-0.564456253,-0.20453482,-2.284749902
5.274818019,-0.507884932,0.258287074,0.078108196,-2.031943664
3.303737353,-1.215489099,-2.736953161,2.197930815,-1.846208469
2.429060395,-0.743752988,-1.592474378,0.078108196,-0.406760708
2.026704816,-0.507884932,-0.908971086,-0.20453482,0.083373835
2.692119432,-0.743752988,-2.120106967,0.890706867,-1.015559402
3.408713003,-0.507884932,-1.150927633,2.339252323,-1.516012567
2.218231752,-0.272016877,0.120539503,0.042777819,-2.227997481
